municipio,nombre_unidad,tipologia,clave_ins,institucion,nivel_atencion,tipo_establecimiento,latitud,longitud
ZAPOPAN,CENTRO DE ATENCIÓN PARA NIÑAS Y NIÑOS CON DISCAPACIDAD INTELECTUAL CIEN CORAZONES,NO ESPECIFICADO,DIFE,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,NO APLICA,DE ASISTENCIA SOCIAL,20.7428075,-103.4333534
GUADALAJARA,CLÍNICA DE ATENCIÓN ESPECIAL,NO ESPECIFICADO,DIFE,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,SEGUNDO NIVEL,DE CONSULTA EXTERNA,20.6971482,-103.3478173
GUADALAJARA,CASA HOGAR PARA PERSONAS EN SITUACIÓN DE CALLE,NO ESPECIFICADO,DIFE,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,NO APLICA,DE ASISTENCIA SOCIAL,20.682368,-103.3128457
SAN PEDRO TLAQUEPAQUE,DIF SAN PEDRO TLAQUEPAQUE,NO ESPECIFICADO,DIFM,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6380862,-103.2895294
ZAPOTLAN EL GRANDE,CLÍNICA DEL CENTRO UNIVERSITARIO DEL SUR DE LA UNIVERSIDAD DE GUADALAJARA,NO ESPECIFICADO,HUN,SERVICIOS MEDICOS UNIVERSITARIOS,PRIMER NIVEL,DE CONSULTA EXTERNA,19.7247733,-103.4606239
ACATIC,UMF 128 ACATIC,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7696,-102.9113
ACATLAN DE JUAREZ,UMF 56 ACATLÁN,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.4233,-103.59408
ACATLAN DE JUAREZ,UMF 30 BELLA VISTA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.4329,-103.636
AHUALULCO DE MERCADO,UMFH 31 AHUALULCO,UNIDAD DE MEDICINA FAMILIAR CON HOSPITALIZACIÓN,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7067,-103.9758
AMATITAN,UMF 11 AMATITAN,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6754,-103.8667
